Date,Time,Open,High,Low,Close,Volume
2020.03.02,20:00,1.11628,1.11845,1.11605,1.11791,12548
2020.03.02,21:00,1.11792,1.11832,1.11617,1.11631,6366
2020.03.02,22:00,1.11633,1.11661,1.11559,1.11634,5026
2020.03.02,23:00,1.11633,1.11633,1.11262,1.11352,7873
2020.03.03,0:00,1.11351,1.114,1.11231,1.11332,4764
2020.03.03,1:00,1.11333,1.1139,1.11271,1.11384,3405
2020.03.03,2:00,1.11383,1.11474,1.11377,1.11439,3791
2020.03.03,3:00,1.11438,1.11445,1.11319,1.1132,2888
2020.03.03,4:00,1.11321,1.11376,1.11199,1.11318,4163
2020.03.03,5:00,1.11317,1.11457,1.11283,1.11401,4087
2020.03.03,6:00,1.11402,1.11415,1.11326,1.11342,2484
2020.03.03,7:00,1.11341,1.11552,1.11323,1.11441,4160
2020.03.03,8:00,1.1144,1.11504,1.11421,1.11446,2630
2020.03.03,9:00,1.11445,1.11507,1.11417,1.11452,3725
2020.03.03,10:00,1.11453,1.11467,1.11147,1.11196,10413
2020.03.03,11:00,1.11197,1.11311,1.11062,1.111,9557
2020.03.03,12:00,1.11099,1.11288,1.10998,1.11263,11245
2020.03.03,13:00,1.11262,1.11384,1.11098,1.1112,9086
2020.03.03,14:00,1.11121,1.11193,1.11058,1.11132,8369
2020.03.03,15:00,1.11133,1.11339,1.11039,1.11173,17417
2020.03.03,16:00,1.11174,1.11247,1.10948,1.11187,21001
2020.03.03,17:00,1.11188,1.11283,1.11151,1.11251,13117
2020.03.03,18:00,1.11252,1.1213,1.11251,1.11791,54612
2020.03.03,19:00,1.11792,1.11807,1.11408,1.11743,24121
2020.03.03,20:00,1.11744,1.1177,1.11468,1.11584,13017
2020.03.03,21:00,1.11585,1.11868,1.11581,1.11845,10117
2020.03.03,22:00,1.11846,1.11947,1.11736,1.11756,19763
2020.03.03,23:00,1.11755,1.11837,1.1171,1.118,11528
2020.03.04,0:00,1.11801,1.1182,1.11666,1.11695,3409
2020.03.04,1:00,1.11696,1.1177,1.11677,1.1169,2209
2020.03.04,2:00,1.11689,1.11849,1.11688,1.11761,3603
2020.03.04,3:00,1.11762,1.11794,1.11681,1.11723,3809
2020.03.04,4:00,1.11722,1.11742,1.11618,1.1166,4182
2020.03.04,5:00,1.11661,1.11707,1.11609,1.11651,3223
2020.03.04,6:00,1.11649,1.11662,1.11593,1.11605,3407
2020.03.04,7:00,1.11606,1.1163,1.1155,1.11607,2139
2020.03.04,8:00,1.11608,1.11633,1.11559,1.11564,1992
2020.03.04,9:00,1.11565,1.11581,1.11429,1.11526,4450
2020.03.04,10:00,1.11527,1.11595,1.11445,1.11589,10073
2020.03.04,11:00,1.11588,1.11871,1.11581,1.11644,15102
2020.03.04,12:00,1.11643,1.11721,1.11516,1.11563,10272
2020.03.04,13:00,1.11564,1.11665,1.11356,1.1136,12067
2020.03.04,14:00,1.11361,1.11544,1.11359,1.1147,8991
2020.03.04,15:00,1.11471,1.11475,1.11092,1.11114,11212
2020.03.04,16:00,1.11115,1.11323,1.11113,1.11249,10708
2020.03.04,17:00,1.1125,1.11267,1.10951,1.11182,18614
2020.03.04,18:00,1.11183,1.11421,1.11,1.1139,21527
2020.03.04,19:00,1.11391,1.11449,1.11219,1.11287,14955
2020.03.04,20:00,1.11288,1.11326,1.11189,1.11232,6901
2020.03.04,21:00,1.11231,1.11368,1.11228,1.11311,4397
2020.03.04,22:00,1.1131,1.11418,1.11283,1.11385,5060
2020.03.04,23:00,1.11384,1.11418,1.1131,1.11367,4167
2020.03.05,0:00,1.11368,1.11378,1.11305,1.11344,1644
2020.03.05,1:00,1.11341,1.1135,1.11303,1.11327,2055
2020.03.05,2:00,1.11326,1.11396,1.11323,1.11378,2043
2020.03.05,3:00,1.11379,1.11422,1.11323,1.11371,3208
2020.03.05,4:00,1.11372,1.1138,1.11334,1.11364,1949
2020.03.05,5:00,1.11365,1.11427,1.11364,1.11415,1338
2020.03.05,6:00,1.11414,1.11432,1.11368,1.11379,1167
2020.03.05,7:00,1.1138,1.11387,1.11354,1.11381,838
2020.03.05,8:00,1.1138,1.11397,1.11336,1.11341,1032
2020.03.05,9:00,1.11342,1.11387,1.11309,1.11323,2145
2020.03.05,10:00,1.11324,1.11391,1.11192,1.11228,5564
2020.03.05,11:00,1.11227,1.11397,1.11212,1.11368,10048
2020.03.05,12:00,1.11367,1.11737,1.11317,1.11729,9985
2020.03.05,13:00,1.11728,1.11771,1.11622,1.11696,8160
2020.03.05,14:00,1.11695,1.11833,1.11561,1.11827,9452
2020.03.05,15:00,1.11826,1.11997,1.11789,1.1188,10173
